ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
3.1.1.1.13 - CEF (outras);1996;0,00;0,00;25.226.000,00;0,00;0,00;0,00;188.328.000,00;0,00;0,00;0,00;0,00;4.175.700,00;0,00;0,00;3.315.000,00;10.670.000,00;0,00;0,00;4.777.000,00;0,00;0,00;0,00;0,00;78.980.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.14 - Parcelamento - PIS/PASEP;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.479.000,00;0,00;13.678.000,00;0,00;1.001.000,00;0,00;0,00;0,00;0,00;47.399,19;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.15 - B.Brasil;1996;0,00;0,00;21.075.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.362.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.005.000,00;0,00;;;;;;;;;;;;;;
3.1.1.1.16 - BNDES;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;278.000,00;0,00;0,00;0,00;0,00;0,00;0,00;11.000.000,00;0,00;;;;;;;;;;;;;;
3.1.1.1.17 - Outros Bancos Federais;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.18 - Demais Dívidas com a União;1996;0,00;0,00;0,00;0,00;184.222.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.314.000,00;505.000,00;66.000,00;0,00;0,00;0,00;0,00;471.897,68;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2 - Outras Dívidas Contratuais;1996;0,00;0,00;0,00;0,00;2.333.000,00;0,00;0,00;0,00;44.357.000,00;0,00;2.921.620,00;0,00;0,00;0,00;0,00;144.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.424.228.000,00;0,00;;;;;;;;;;;;;;
3.1.1.2.1 - Bancos Estaduais;1996;0,00;0,00;0,00;0,00;2.333.000,00;0,00;0,00;0,00;44.357.000,00;0,00;0,00;0,00;0,00;0,00;0,00;144.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.324.895.000,00;0,00;;;;;;;;;;;;;;
3.1.1.2.2 - Bancos Privados;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99.333.000,00;0,00;;;;;;;;;;;;;;
3.1.1.2.3 - Demais;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.921.620,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.2 - Mobiliária Interna;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2 - Fundada Externa;1996;0,00;0,00;0,00;0,00;23.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.118.000,00;0,00;0,00;0,00;25.699.000,00;0,00;0,00;0,00;11.700.000,00;146.986.000,00;0,00;;;;;;;;;;;;;;
3.2.1 - Contratual;1996;0,00;0,00;0,00;0,00;23.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.118.000,00;0,00;0,00;0,00;25.699.000,00;0,00;0,00;0,00;11.700.000,00;146.986.000,00;0,00;;;;;;;;;;;;;;
3.2.1.1 - Sem aval do Tesouro Nacional;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25.699.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.1.2 - Com aval do TN até 30/09/91;1996;0,00;0,00;0,00;0,00;23.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.700.000,00;146.986.000,00;0,00;;;;;;;;;;;;;;
3.2.1.3 - Com aval do TN após 30/09/91;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.118.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.2 - Mobiliária Externa;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4 - Flutuante;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;77.000,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.1 - Empreiteiros;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.2 - Fornecedores;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.3 - Autofinanciamentos;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.4 - Folha de Pagamentos;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.5 - AROs;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.6 - INSS;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.7 - FGTS;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.8 - PIS/PASEP e Inst. de Pensão;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;77.000,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.9 - Precatórios;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.10 - Outras;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. INDIRETA;1996;61.570.940,00;0,00;50.452.000,00;0,00;230.068.574,80;334.896.758,80;188.328.000,00;0,00;48.711.000,00;0,00;372.460.541,40;21.538.500,00;161.265.192,60;197.845.632,40;76.571.000,00;559.197.134,00;198.913.471,80;416.512.525,60;484.912.366,00;0,00;25.699.000,00;2.761.136,16;0,00;198.843.000,00;268.745.698,80;14.748.795.543,80;989.000,00;;;;;;;;;;;;;;
Dívida Financeira;1996;496.167.400,00;1.336.063.226,80;1.339.077.760,60;72.350.000,00;5.051.360.926,00;1.914.695.155,20;914.624.000,00;970.495.656,60;5.339.870.576,02;2.390.082.631,32;13.349.756.562,20;1.883.749.902,20;2.927.347.561,80;1.111.113.086,40;1.757.779.520,60;2.539.669.193,20;1.328.789.163,60;2.714.774.210,60;8.858.624.026,00;553.568.706,80;513.126.727,00;78.523.206,03;9.215.137.103,10;3.746.107.567,80;975.204.018,20;50.922.619.418,00;203.010.099,40;;;;;;;;;;;;;;
RLR;1996;392.009.182,18;677.140.820,10;1.820.517.490,47;367.334.831,19;3.284.454.841,80;1.861.418.061,13;3.403.351.287,09;1.595.985.308,92;1.518.651.188,62;1.169.133.980,72;5.913.542.415,88;675.916.169,61;1.081.298.404,84;1.328.432.353,49;924.189.088,97;1.964.049.324,22;742.222.841,97;3.364.480.162,91;5.244.843.846,31;820.357.546,11;501.359.801,83;275.257.487,20;4.333.616.922,33;2.019.975.791,77;646.201.961,25;20.983.576.804,42;556.287.915,80;;;;;;;;;;;;;;
RLR corrigida;1996;405.888.280,53;699.768.386,79;1.860.203.407,83;379.459.020,70;3.387.724.709,33;1.920.513.715,41;3.515.284.663,49;1.641.956.345,78;1.567.525.310,83;1.205.826.141,55;6.099.796.152,39;697.977.263,25;1.112.502.105,08;1.369.371.589,17;952.016.679,16;2.025.039.826,58;764.694.719,14;3.469.085.493,43;5.417.508.207,60;846.214.459,23;518.436.893,85;284.303.262,95;4.466.012.974,45;2.081.951.122,77;667.333.083,61;21.678.400.695,46;574.510.288,26;;;;;;;;;;;;;;
Dívida Financeira/RLR;1996;1,27;1,97;0,74;0,20;1,54;1,03;0,27;0,61;3,52;2,04;2,26;2,79;2,71;0,84;1,90;1,29;1,79;0,81;1,69;0,67;1,02;0,29;2,13;1,85;1,51;2,43;0,36;;;;;;;;;;;;;;
Dívida Financeira/RLR corrigida;1996;1,22;1,91;0,72;0,19;1,49;1,00;0,26;0,59;3,41;1,98;2,19;2,70;2,63;0,81;1,85;1,25;1,74;0,78;1,64;0,65;0,99;0,28;2,06;1,80;1,46;2,35;0,35;;;;;;;;;;;;;;
DÍVITA TOTAL (Adm. Direta e Indireta);1997;518.193.236,05;1.915.425.521,96;1.365.492.378,88;75.450.000,00;5.185.699.897,24;1.756.071.263,21;826.197.000,00;1.217.145.609,78;6.175.958.952,42;2.801.421.401,12;15.697.890.737,39;2.120.957.152,74;3.544.383.216,90;1.251.366.045,69;1.946.653.261,04;2.305.879.789,84;1.428.499.236,72;2.625.403.635,71;13.910.376.235,99;641.498.749,51;277.554.042,59;76.633.323,70;10.780.340.119,46;4.070.235.316,62;783.147.525,32;52.285.477.029,44;307.877.996,53;;;;;;;;;;;;;;
1 - DÍVIDA FUNDADA - Adm. Direta;1997;453.520.809,48;1.600.560.983,36;1.343.734.078,88;75.450.000,00;5.034.999.503,51;1.756.071.263,21;823.083.000,00;1.188.245.609,78;5.765.673.952,42;2.801.421.401,12;15.304.669.950,99;2.084.568.952,74;3.446.919.485,62;1.043.504.481,84;1.894.139.261,04;2.226.288.309,84;1.192.531.616,59;2.182.871.240,23;13.414.096.732,06;641.498.749,51;277.554.042,59;74.546.631,83;10.780.340.119,46;3.939.686.456,04;783.147.525,32;51.872.773.153,16;307.877.996,53;;;;;;;;;;;;;;
1.1 -   Fundada Interna;1997;453.520.809,48;1.600.560.983,36;1.343.481.538,88;70.374.000,00;4.715.437.503,51;1.426.427.263,21;717.585.000,00;1.042.106.629,78;5.724.253.952,42;2.746.059.471,12;14.591.287.136,10;2.077.576.752,74;3.446.919.485,62;960.815.481,84;1.893.890.261,04;2.103.025.309,84;1.189.976.616,59;1.628.824.240,23;13.232.487.732,06;641.498.749,51;277.554.042,59;74.546.631,83;10.546.621.119,46;3.681.141.456,04;756.287.111,32;51.502.212.153,16;196.007.996,53;;;;;;;;;;;;;;
1.1.1 - Contratual;1997;453.520.809,48;1.096.560.983,36;1.343.481.538,88;70.374.000,00;4.715.437.503,51;1.426.427.263,21;717.585.000,00;890.106.629,78;4.850.253.952,42;2.746.059.471,12;3.679.287.136,10;1.738.576.752,74;3.222.919.485,62;960.815.481,84;1.825.890.261,04;1.392.872.309,84;1.189.976.616,59;1.142.824.240,23;5.849.487.732,06;641.498.749,51;277.554.042,59;74.546.631,83;2.403.621.119,46;1.881.141.456,04;511.771.785,36;51.290.026.153,16;196.007.996,53;;;;;;;;;;;;;;
1.1.1.1 - União;1997;453.520.809,48;1.033.288.718,89;1.343.481.538,88;70.374.000,00;4.679.485.503,51;1.418.841.263,21;563.335.000,00;874.411.629,78;4.850.253.952,42;2.620.098.101,12;2.612.563.567,98;1.738.576.752,74;2.975.940.485,62;950.604.481,84;1.819.163.261,04;1.392.872.309,84;1.189.976.616,59;1.142.824.240,23;5.402.029.732,06;641.498.749,51;277.554.042,59;74.546.631,83;2.401.023.119,46;1.682.126.456,04;511.771.785,36;51.286.359.153,16;196.007.996,53;;;;;;;;;;;;;;
1.1.1.1.1 - BIB;1997;0,00;1.252.427,18;15.948.539,09;0,00;18.817.617,49;5.911.895,79;0,00;0,00;40.721.470,75;17.302.240,70;18.767.700,00;42.906.104,09;21.175.485,92;25.744.506,78;15.245.892,63;5.458.015,86;9.883.630,13;19.849.714,76;0,00;3.813.407,29;2.636.320,37;0,00;0,00;5.474.734,00;640.142,53;51.514.718,58;0,00;;;;;;;;;;;;;;
1.1.1.1.2 - BEA;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.692.430,44;0,00;0,00;20.668.820,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.549.946,68;0,00;0,00;0,00;9.215.762,39;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.3 - Clube de Paris;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.487.895,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.186.266,07;5.042.265,46;0,00;109.297.485,92;0,00;;;;;;;;;;;;;;
1.1.1.1.4 - DMLP;1997;0,00;20.314.719,07;207.146.820,84;0,00;247.578.660,06;63.369.378,37;0,00;102.659.905,52;360.479.371,23;242.021.556,38;398.493.923,19;218.538.109,66;263.746.890,16;122.691.023,43;170.554.395,66;81.026.570,68;100.124.589,56;166.492.511,81;52.040.788,84;34.562.301,12;19.861.743,68;0,00;116.386.448,14;43.577.470,20;10.080.961,09;770.163.345,34;0,00;;;;;;;;;;;;;;
1.1.1.1.5 - Lei 7.976/89;1997;9.335.342,72;75.768.949,75;0,00;0,00;351.664.405,01;650.653.809,48;0,00;74.224.846,97;425.756.114,92;363.008.956,97;159.395.798,75;262.103.494,79;288.784.143,37;18.486.667,82;136.951.598,64;179.496.309,50;89.215.815,00;58.120.564,78;549.559.042,47;75.671.297,38;0,00;0,00;363.451.497,41;575.254.868,50;14.347.266,19;1.360.758.194,38;0,00;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;1997;72.247.430,00;0,00;1.529.950,00;0,00;13.535.000,00;0,00;0,00;0,00;419.987.000,00;30.667.190,00;0,00;0,00;83.283.000,00;13.299.000,00;0,00;76.135.000,00;4.660.000,00;0,00;0,00;37.062.547,19;0,00;2.908.239,00;2.331.000,00;0,00;0,00;45.046.000,00;0,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.515.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;1997;337.111.603,55;452.130.070,64;1.118.790.288,95;0,00;2.799.475.434,08;368.023.583,09;0,00;227.763.220,25;3.252.514.995,52;1.746.848.635,45;1.193.997.492,53;759.086.594,50;1.608.405.705,45;434.721.951,14;1.101.732.671,09;730.683.413,80;756.007.683,59;355.890.448,88;643.650.141,76;403.611.864,55;188.657.314,92;48.972.040,35;1.391.692.352,48;440.047.925,20;302.067.716,06;2.193.507.843,49;85.510.996,53;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;1997;337.111.603,55;452.130.070,64;1.118.790.288,95;0,00;2.799.475.434,08;368.023.583,09;0,00;227.763.220,25;3.252.514.995,52;1.746.848.635,45;1.193.997.492,53;759.086.594,50;1.608.405.705,45;434.721.951,14;1.101.732.671,09;730.683.413,80;756.007.683,59;355.890.448,88;643.650.141,76;403.611.864,55;188.657.314,92;48.972.040,35;1.391.692.352,48;440.047.925,20;302.067.716,06;2.193.507.843,49;85.510.996,53;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;1997;0,00;0,00;0,00;0,00;906.885.386,87;103.110.596,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157.571.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46.683.947.565,45;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;1997;0,00;0,00;0,00;0,00;906.885.386,87;82.162.189,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157.571.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46.683.947.565,45;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;1997;0,00;0,00;0,00;0,00;0,00;20.948.406,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;1997;26.534.383,21;455.211.300,89;0,00;0,00;0,00;0,00;0,00;245.701.331,49;193.300.000,00;220.249.521,62;698.155.431,77;453.705.449,70;540.265.260,72;159.211.332,67;124.195.703,02;0,00;161.384.898,31;0,00;3.338.974.812,31;80.000.000,00;66.398.663,62;16.000.000,00;483.795.792,97;197.824.192,68;113.919.999,49;0,00;30.000.000,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);1997;1.889.070,00;0,00;0,00;70.374.000,00;147.033.000,00;71.252.000,00;171.181.000,00;89.468.000,00;36.931.000,00;0,00;77.220.708,96;2.237.000,00;0,00;96.685.000,00;163.347.000,00;158.606.000,00;16.194.000,00;37.595.000,00;151.760.000,00;463.747,44;0,00;6.666.352,48;23.799.000,00;0,00;30.875.165,00;0,00;62.805.000,00;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;1997;561.330,00;0,00;65.940,00;0,00;0,00;0,00;0,00;0,00;27.262.000,00;0,00;0,00;0,00;24.014.000,00;0,00;0,00;0,00;1.133.000,00;0,00;78.325.000,00;2.882.839,68;0,00;0,00;1.644.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;1997;5.841.650,00;0,00;0,00;0,00;22.605.000,00;0,00;155.645.000,00;5.493.000,00;0,00;0,00;33.913.563,79;0,00;146.266.000,00;0,00;0,00;0,00;17.261.000,00;0,00;35.482.000,00;0,00;0,00;0,00;0,00;0,00;0,00;40.197.000,00;17.692.000,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;1997;0,00;0,00;0,00;0,00;130.577.000,00;42.667.000,00;236.114.000,00;124.921.000,00;93.302.000,00;0,00;11.950.128,99;0,00;0,00;79.765.000,00;1.327.000,00;0,00;30.242.000,00;0,00;459.494.000,00;0,00;0,00;0,00;0,00;23.456.000,00;26.896.000,00;31.927.000,00;0,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;1997;0,00;22.757.382,25;0,00;0,00;33.008.000,00;113.853.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;87.782.000,00;3.896.000,00;3.870.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.944.535,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;1997;0,00;5.853.869,11;0,00;0,00;8.306.000,00;0,00;395.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.027.000,00;0,00;0,00;504.876.000,00;85.679.000,00;3.430.744,86;0,00;0,00;7.521.000,00;391.449.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;1997;0,00;63.272.264,47;0,00;0,00;35.952.000,00;7.586.000,00;154.250.000,00;15.695.000,00;0,00;125.961.370,00;1.066.723.568,12;0,00;246.979.000,00;10.211.000,00;6.727.000,00;0,00;0,00;0,00;447.458.000,00;0,00;0,00;0,00;2.598.000,00;199.015.000,00;0,00;3.667.000,00;0,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;1997;0,00;0,00;0,00;0,00;26.997.000,00;0,00;154.250.000,00;0,00;0,00;0,00;0,00;0,00;57.302.000,00;0,00;0,00;0,00;0,00;0,00;447.458.000,00;0,00;0,00;0,00;2.598.000,00;199.015.000,00;0,00;3.667.000,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;1997;0,00;5.133.333,20;0,00;0,00;6.553.000,00;941.000,00;0,00;0,00;0,00;0,00;128.831.836,87;0,00;189.677.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;1997;0,00;58.138.931,27;0,00;0,00;2.402.000,00;6.645.000,00;0,00;15.695.000,00;0,00;125.961.370,00;937.891.731,25;0,00;0,00;10.211.000,00;6.727.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;1997;0,00;504.000.000,00;0,00;0,00;0,00;0,00;0,00;152.000.000,00;874.000.000,00;0,00;10.912.000.000,00;339.000.000,00;224.000.000,00;0,00;68.000.000,00;710.153.000,00;0,00;486.000.000,00;7.383.000.000,00;0,00;0,00;0,00;8.143.000.000,00;1.800.000.000,00;244.515.325,96;212.186.000,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;1997;0,00;504.000.000,00;0,00;0,00;0,00;0,00;0,00;152.000.000,00;874.000.000,00;0,00;10.912.000.000,00;339.000.000,00;224.000.000,00;0,00;68.000.000,00;710.153.000,00;0,00;486.000.000,00;7.383.000.000,00;0,00;0,00;0,00;8.143.000.000,00;1.800.000.000,00;244.515.325,96;212.186.000,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;1997;0,00;0,00;252.540,00;5.076.000,00;319.562.000,00;329.644.000,00;105.498.000,00;146.138.980,00;41.420.000,00;55.361.930,00;713.382.814,89;6.992.200,00;0,00;82.689.000,00;249.000,00;123.263.000,00;2.555.000,00;554.047.000,00;181.609.000,00;0,00;0,00;0,00;233.719.000,00;258.545.000,00;26.860.414,00;370.561.000,00;111.870.000,00;;;;;;;;;;;;;;
1.2.1 - Contratual;1997;0,00;0,00;252.540,00;5.076.000,00;319.562.000,00;329.644.000,00;105.498.000,00;146.138.980,00;41.420.000,00;55.361.930,00;490.102.814,89;6.992.200,00;0,00;82.689.000,00;249.000,00;123.263.000,00;2.555.000,00;554.047.000,00;179.852.000,00;0,00;0,00;0,00;233.719.000,00;258.545.000,00;26.860.414,00;370.561.000,00;111.870.000,00;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;1997;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;683.000,00;0,00;0,00;0,00;0,00;6.237.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;1997;0,00;0,00;252.540,00;0,00;94.664.000,00;97.479.000,00;105.498.000,00;7.476.000,00;41.420.000,00;0,00;167.494.781,54;0,00;0,00;37.202.000,00;249.000,00;0,00;0,00;257.522.000,00;0,00;0,00;0,00;0,00;120.607.000,00;137.089.000,00;10.641.660,00;123.310.000,00;0,00;;;;;;;;;;;;;;
